"filename", "language", "Dotenv", "JavaScript", "JSON", "vue", "Markdown", "TypeScript", "MS SQL", "JSON with Comments", "HTML", "comment", "blank", "total"
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_25_1761117746332\segment_159.ts", "TypeScript", 0, 0, 0, 0, 0, 748, 0, 0, 0, 0, 3, 751
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_25_1761117746332\segment_160.ts", "TypeScript", 0, 0, 0, 0, 0, 299, 0, 0, 0, 0, 3, 302
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_5_1759824535612\segment_000.ts", "TypeScript", 0, 0, 0, 0, 0, 10673, 0, 0, 0, 6672, 33, 17378
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_5_1759824535612\segment_001.ts", "TypeScript", 0, 0, 0, 0, 0, 4898, 0, 0, 0, 2563, 18, 7479
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_5_1759824535612\segment_002.ts", "TypeScript", 0, 0, 0, 0, 0, 14540, 0, 0, 0, 8381, 35, 22956
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_5_1759824535612\segment_003.ts", "TypeScript", 0, 0, 0, 0, 0, 12251, 0, 0, 0, 6691, 30, 18972
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_5_1759824535612\segment_004.ts", "TypeScript", 0, 0, 0, 0, 0, 14310, 0, 0, 0, 2898, 43, 17251
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_5_1759824535612\segment_005.ts", "TypeScript", 0, 0, 0, 0, 0, 10730, 0, 0, 0, 4579, 43, 15352
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_5_1759824535612\segment_006.ts", "TypeScript", 0, 0, 0, 0, 0, 14399, 0, 0, 0, 3782, 59, 18240
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_5_1759824535612\segment_007.ts", "TypeScript", 0, 0, 0, 0, 0, 17135, 0, 0, 0, 5527, 67, 22729
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_5_1759824535612\segment_008.ts", "TypeScript", 0, 0, 0, 0, 0, 9431, 0, 0, 0, 4741, 30, 14202
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_5_1759824535612\segment_009.ts", "TypeScript", 0, 0, 0, 0, 0, 15768, 0, 0, 0, 5744, 49, 21561
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_5_1759824535612\segment_010.ts", "TypeScript", 0, 0, 0, 0, 0, 1917, 0, 0, 0, 809, 2, 2728
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_5_1759824535612\segment_011.ts", "TypeScript", 0, 0, 0, 0, 0, 10389, 0, 0, 0, 3948, 34, 14371
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_5_1759824535612\segment_012.ts", "TypeScript", 0, 0, 0, 0, 0, 15674, 0, 0, 0, 6690, 47, 22411
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_5_1759824535612\segment_013.ts", "TypeScript", 0, 0, 0, 0, 0, 14379, 0, 0, 0, 6726, 53, 21158
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_5_1759824535612\segment_014.ts", "TypeScript", 0, 0, 0, 0, 0, 9049, 0, 0, 0, 1291, 26, 10366
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_5_1759824535612\segment_015.ts", "TypeScript", 0, 0, 0, 0, 0, 10983, 0, 0, 0, 2370, 38, 13391
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_5_1759824535612\segment_016.ts", "TypeScript", 0, 0, 0, 0, 0, 6453, 0, 0, 0, 1153, 23, 7629
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_5_1759824535612\segment_017.ts", "TypeScript", 0, 0, 0, 0, 0, 16816, 0, 0, 0, 3633, 67, 20516
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_5_1759824535612\segment_018.ts", "TypeScript", 0, 0, 0, 0, 0, 1381, 0, 0, 0, 1851, 1, 3233
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_6_1759830463550\segment_000.ts", "TypeScript", 0, 0, 0, 0, 0, 12390, 0, 0, 0, 4204, 46, 16640
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_6_1759830463550\segment_001.ts", "TypeScript", 0, 0, 0, 0, 0, 7989, 0, 0, 0, 899, 22, 8910
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_6_1759830463550\segment_002.ts", "TypeScript", 0, 0, 0, 0, 0, 18060, 0, 0, 0, 4529, 62, 22651
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_6_1759830463550\segment_003.ts", "TypeScript", 0, 0, 0, 0, 0, 15666, 0, 0, 0, 4207, 67, 19940
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_6_1759830463550\segment_004.ts", "TypeScript", 0, 0, 0, 0, 0, 5842, 0, 0, 0, 3548, 20, 9410
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_7_1759833715540\segment_000.ts", "TypeScript", 0, 0, 0, 0, 0, 11918, 0, 0, 0, 4876, 32, 16826
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_7_1759833715540\segment_001.ts", "TypeScript", 0, 0, 0, 0, 0, 7019, 0, 0, 0, 1857, 30, 8906
"d:\CV\Project-Web-Real-Madrid-V2\backend\uploads\hls\hls_7_1759833715540\segment_002.ts", "TypeScript", 0, 0, 0, 0, 0, 15966, 0, 0, 0, 6171, 61, 22198
