"filename", "language", "PostCSS", "comment", "blank", "total"
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\styles\dark-mode.css", "PostCSS", 0, 0, -1, -1
"Total", "-", 0, 0, -1, -1
