Date : 2026-01-01 16:03:52
Directory : d:\CV\Project-Web-Real-Madrid-V3
Total : 152 files,  28462 codes, 1231 comments, 3152 blanks, all 32845 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\cartcontroller.js                           | JavaScript         |        152 |         11 |         18 |        181 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\highlightscontroller.js                     | JavaScript         |        317 |         16 |         48 |        381 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\matchescontroller.js                        | JavaScript         |        245 |         13 |         24 |        282 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\membershipscontroller.js                    | JavaScript         |         42 |          5 |          6 |         53 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\myticketscontroller.js                      | JavaScript         |         23 |          1 |          2 |         26 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\newscontroller.js                           | JavaScript         |        136 |         66 |         21 |        223 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\orderscontroller.js                         | JavaScript         |        581 |         37 |         80 |        698 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\paymentscontroller.js                       | JavaScript         |        334 |         19 |         35 |        388 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\playerscontroller.js                        | JavaScript         |        428 |          5 |         59 |        492 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\productscontroller.js                       | JavaScript         |        167 |          5 |         17 |        189 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\ticketorderscontroller.js                   | JavaScript         |        323 |         34 |         34 |        391 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\ticketscontroller.js                        | JavaScript         |        155 |          2 |         18 |        175 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\uploadcontroller.js                         | JavaScript         |         16 |          3 |          5 |         24 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\controllers\userscontroller.js                          | JavaScript         |        185 |         20 |         32 |        237 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\jobs\housekeeping.js                                    | JavaScript         |         36 |          4 |          4 |         44 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\lib\mailer.js                                           | JavaScript         |         53 |          1 |          7 |         61 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\middleware\authmiddleware.js                            | JavaScript         |         21 |          1 |          4 |         26 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\middleware\uploadMulter.js                              | JavaScript         |         60 |         38 |         15 |        113 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\admin.cashback.js                                | JavaScript         |         83 |          5 |          6 |         94 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\admin.reconcile.js                               | JavaScript         |         23 |          1 |          5 |         29 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\admin.refund.js                                  | JavaScript         |         41 |          2 |          5 |         48 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\admin.wallet.js                                  | JavaScript         |        108 |          6 |         15 |        129 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\auth.js                                          | JavaScript         |          6 |          4 |          4 |         14 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\cart.js                                          | JavaScript         |          9 |          2 |          3 |         14 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\event.routes.js                                  | JavaScript         |         82 |         25 |         13 |        120 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\eventGreeting.routes.js                          | JavaScript         |        144 |         41 |         28 |        213 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\highlights.js                                    | JavaScript         |         22 |          3 |          5 |         30 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\matches.js                                       | JavaScript         |         17 |          4 |          4 |         25 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\memberships.js                                   | JavaScript         |          8 |          3 |          6 |         17 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\misc.js                                          | JavaScript         |         24 |          0 |          4 |         28 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\mytickets.js                                     | JavaScript         |          6 |          0 |          3 |          9 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\news.js                                          | JavaScript         |         12 |          3 |          6 |         21 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\notifications.js                                 | JavaScript         |         32 |          4 |          6 |         42 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\orders.admin.js                                  | JavaScript         |        104 |          5 |         15 |        124 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\orders.js                                        | JavaScript         |         19 |          7 |          6 |         32 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\payments.js                                      | JavaScript         |          9 |          4 |          4 |         17 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\players.js                                       | JavaScript         |         21 |          4 |          6 |         31 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\products.js                                      | JavaScript         |         16 |          5 |          6 |         27 |
| d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\ticketorders.js                                  | JavaScript         |          9 |          3 |          4 |         16 |
