Date : 2025-11-22 10:29:00
Directory : d:\CV\Project-Web-Real-Madrid-V2
Total : 494 files,  3849451 codes, 1489141 comments, 15056 blanks, all 5353648 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        377 |  3,827,609 |  1,488,339 |     13,247 |  5,329,195 |
| JSON               |          8 |      8,802 |          0 |         45 |      8,847 |
| vue                |         44 |      7,014 |        179 |        882 |      8,075 |
| JavaScript         |         59 |      5,384 |        513 |        735 |      6,632 |
| MS SQL             |          1 |        569 |        101 |        118 |        788 |
| Dotenv             |          2 |         34 |          9 |         12 |         55 |
| Markdown           |          1 |         18 |          0 |         12 |         30 |
| HTML               |          1 |         13 |          0 |          4 |         17 |
| JSON with Comments |          1 |          8 |          0 |          1 |          9 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |        494 |  3,849,451 |  1,489,141 |     15,056 |  5,353,648 |
| . (Files)                                                                                |          2 |      1,708 |          0 |          2 |      1,710 |
| backend                                                                                  |        431 |  3,836,613 |  1,488,906 |     14,083 |  5,339,602 |
| backend (Files)                                                                          |          4 |      2,395 |          9 |         14 |      2,418 |
| backend\config                                                                           |          1 |         15 |          1 |          4 |         20 |
| backend\docs                                                                             |          1 |      1,175 |          0 |         35 |      1,210 |
| backend\scripts                                                                          |          1 |         12 |          1 |          2 |         15 |
| backend\sql                                                                              |          1 |        569 |        101 |        118 |        788 |
| backend\src                                                                              |         46 |      4,838 |        455 |        663 |      5,956 |
| backend\src (Files)                                                                      |          1 |         87 |         11 |         15 |        113 |
| backend\src\controllers                                                                  |         13 |      2,533 |        212 |        317 |      3,062 |
| backend\src\jobs                                                                         |          1 |         36 |          4 |          4 |         44 |
| backend\src\lib                                                                          |          1 |         53 |          1 |          7 |         61 |
| backend\src\middleware                                                                   |          2 |         69 |          3 |         11 |         83 |
| backend\src\routes                                                                       |         22 |        764 |         78 |        134 |        976 |
| backend\src\services                                                                     |          4 |      1,240 |        138 |        167 |      1,545 |
| backend\src\utils                                                                        |          2 |         56 |          8 |          8 |         72 |
| backend\uploads                                                                          |        377 |  3,827,609 |  1,488,339 |     13,247 |  5,329,195 |
| backend\uploads\hls                                                                      |        377 |  3,827,609 |  1,488,339 |     13,247 |  5,329,195 |
| backend\uploads\hls\hls_10_1759837600286                                                 |         19 |    219,633 |     71,885 |        725 |    292,243 |
| backend\uploads\hls\hls_11_1759837633644                                                 |         19 |    203,548 |     87,349 |        695 |    291,592 |
| backend\uploads\hls\hls_24_1761116566457                                                 |        125 |  1,222,727 |    461,989 |      4,265 |  1,688,981 |
| backend\uploads\hls\hls_25_1761117746332                                                 |        161 |  1,596,719 |    639,089 |      5,494 |  2,241,302 |
| backend\uploads\hls\hls_5_1759824535612                                                  |         19 |    211,176 |     80,049 |        698 |    291,923 |
| backend\uploads\hls\hls_6_1759830463550                                                  |          5 |     59,947 |     17,387 |        217 |     77,551 |
| backend\uploads\hls\hls_7_1759833715540                                                  |          5 |     50,819 |     25,261 |        181 |     76,261 |
| backend\uploads\hls\hls_8_1759837237144                                                  |         19 |    212,545 |     78,516 |        771 |    291,832 |
| backend\uploads\hls\hls_9_1759837572728                                                  |          5 |     50,495 |     26,814 |        201 |     77,510 |
| frontend                                                                                 |         61 |     11,130 |        235 |        971 |     12,336 |
| frontend (Files)                                                                         |          7 |      3,530 |          3 |         23 |      3,556 |
| frontend\src                                                                             |         54 |      7,600 |        232 |        948 |      8,780 |
| frontend\src (Files)                                                                     |          2 |         49 |          5 |         10 |         64 |
| frontend\src\assets                                                                      |          1 |         88 |          0 |          4 |         92 |
| frontend\src\assets\data                                                                 |          1 |         88 |          0 |          4 |         92 |
| frontend\src\components                                                                  |          8 |        751 |         37 |        118 |        906 |
| frontend\src\composables                                                                 |          1 |         11 |          1 |          3 |         15 |
| frontend\src\pages                                                                       |         35 |      6,227 |        138 |        757 |      7,122 |
| frontend\src\pages (Files)                                                               |         10 |      2,336 |         68 |        293 |      2,697 |
| frontend\src\pages\admin                                                                 |         12 |      2,053 |         40 |        216 |      2,309 |
| frontend\src\pages\admin (Files)                                                         |         10 |      1,947 |         40 |        206 |      2,193 |
| frontend\src\pages\admin\wallet                                                          |          2 |        106 |          0 |         10 |        116 |
| frontend\src\pages\highlights                                                            |          2 |        216 |          5 |         32 |        253 |
| frontend\src\pages\orders                                                                |          2 |        470 |          6 |         57 |        533 |
| frontend\src\pages\palmares                                                              |          3 |        200 |          5 |         41 |        246 |
| frontend\src\pages\partners                                                              |          1 |        295 |          4 |         23 |        322 |
| frontend\src\pages\pay                                                                   |          1 |         55 |          1 |         11 |         67 |
| frontend\src\pages\tickets                                                               |          1 |        142 |          1 |         15 |        158 |
| frontend\src\pages\user                                                                  |          3 |        460 |          8 |         69 |        537 |
| frontend\src\router                                                                      |          1 |        181 |         18 |         17 |        216 |
| frontend\src\services                                                                    |          3 |        145 |         27 |         31 |        203 |
| frontend\src\store                                                                       |          3 |        148 |          6 |          8 |        162 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                 | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\CV\Project-Web-Real-Madrid-V2\backend\.env                                            | Dotenv             |         33 |          8 |         11 |         52 |
| d:\CV\Project-Web-Real-Madrid-V2\backend\config\db.js                                    | JavaScript         |         15 |          1 |          4 |         20 |
