"filename", "language", "JSON", "JavaScript", "Markdown", "PostCSS", "vue", "MS SQL", "HTML", "JSON with Comments", "comment", "blank", "total"
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\highlights.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 3, 5, 30
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\matches.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 4, 4, 25
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\memberships.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 3, 6, 17
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\misc.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\mytickets.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\news.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 3, 6, 21
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\notifications.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 4, 6, 42
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\orders.admin.js", "JavaScript", 0, 104, 0, 0, 0, 0, 0, 0, 5, 15, 124
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\orders.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 7, 6, 32
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\payments.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 4, 4, 17
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\players.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 4, 6, 31
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\products.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 5, 6, 27
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\ticketorders.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 3, 4, 16
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\tickets.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 3, 8, 32
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\upload.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 9, 10, 69
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\users.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 3, 4, 26
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\users.profile.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 4, 7, 56
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\wallet.admin.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 0, 11, 15, 101
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\wallet.freeze.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 8, 11, 73
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\routes\wallet.js", "JavaScript", 0, 152, 0, 0, 0, 0, 0, 0, 10, 13, 175
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\services\membership.js", "JavaScript", 0, 152, 0, 0, 0, 0, 0, 0, 21, 27, 200
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\services\payments.js", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 0, 9, 9, 82
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\services\ticket.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 1, 4, 26
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\services\wallet.js", "JavaScript", 0, 1033, 0, 0, 0, 0, 0, 0, 113, 147, 1293
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\utils\ffmpeg.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 0, 8, 7, 71
"d:\CV\Project-Web-Real-Madrid-V3\backend\src\utils\validators.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CV\Project-Web-Real-Madrid-V3\frontend\README.md", "Markdown", 0, 0, 18, 0, 0, 0, 0, 0, 0, 12, 30
"d:\CV\Project-Web-Real-Madrid-V3\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 4, 17
"d:\CV\Project-Web-Real-Madrid-V3\frontend\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"d:\CV\Project-Web-Real-Madrid-V3\frontend\package-lock.json", "JSON", 3493, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3494
"d:\CV\Project-Web-Real-Madrid-V3\frontend\package.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\App.vue", "vue", 0, 0, 0, 0, 62, 0, 0, 0, 4, 18, 84
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\api\api.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\api\eventGreetings.api.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 2, 6, 24
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\api\events.api.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 9, 5, 31
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\assets\data\palmares.json", "JSON", 88, 0, 0, 0, 0, 0, 0, 0, 0, 4, 92
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\FooterBar.vue", "vue", 0, 0, 0, 0, 104, 0, 0, 0, 6, 18, 128
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\HlsPlayer.vue", "vue", 0, 0, 0, 0, 59, 0, 0, 0, 0, 9, 68
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\MatchScoreboard.vue", "vue", 0, 0, 0, 0, 139, 0, 0, 0, 5, 30, 174
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\MembershipCard.vue", "vue", 0, 0, 0, 0, 141, 0, 0, 0, 4, 24, 169
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\NavBar.vue", "vue", 0, 0, 0, 0, 256, 0, 0, 0, 7, 63, 326
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\NotificationBell.vue", "vue", 0, 0, 0, 0, 47, 0, 0, 0, 1, 6, 54
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\components\SponsorsSection.vue", "vue", 0, 0, 0, 0, 59, 0, 0, 0, 2, 6, 67
